sample,status,reason,rawmeal_feed[kg/s],rmgas_flow[kg/s],rmgas_temp[K],coal_feed[kg/s],cmgas_flow[kg/s],cmgas_temp[K],clrcair_flow[kg/s],clrcair2_flow[kg/s],rmfan_T[K],rmdry_T[K],gasht_T[K],cmdry_T[K],phk1_T[K],phk2_T[K],phk3_T[K],phk4_T[K],phk5_T[K],phc1_T[K],phc2_T[K],phc3_T[K],phc4_T[K],phc5_T[K],clcalc_T[K],coal_split[-],secair_split[-],meal_split[-],RawMill_I_B_MW,RawMill_I_A_MW,RawMill_eps,RawMill_eps_capped,RawMill_IP_MW,RawMill_Eclose_MW,CoalMill_I_B_MW,CoalMill_I_A_MW,CoalMill_eps,CoalMill_eps_capped,CoalMill_IP_MW,CoalMill_Eclose_MW,Preheater_I_B_MW,Preheater_I_A_MW,Preheater_eps,Preheater_eps_capped,Preheater_IP_MW,Preheater_Eclose_MW,Calciner_I_B_MW,Calciner_I_A_MW,Calciner_eps,Calciner_eps_capped,Calciner_IP_MW,Calciner_Eclose_MW,Kiln_I_B_MW,Kiln_I_A_MW,Kiln_eps,Kiln_eps_capped,Kiln_IP_MW,Kiln_Eclose_MW,ClinkerCooler_I_B_MW,ClinkerCooler_I_A_MW,ClinkerCooler_eps,ClinkerCooler_eps_capped,ClinkerCooler_IP_MW,ClinkerCooler_Eclose_MW,plant_I_B_MW,plant_IP_MW,plant_eps,coal_ex_MW,clinker_ex_MW,clinker_T_K,NCV_kJkg,plant_spec_I_MJkg,plant_spec_I_MWMW,clinker_mass_kgps,plant_eps_stream
471,OK,,97.40478,182.8318,467.35817,7.90058,33.40048,394.31685,44.41444,105.01393,410.94432,338.88593,456.06136,331.69258,604.96122,769.73935,956.63135,1033.38111,946.06298,562.6504,683.09092,903.80871,986.22562,971.67809,1188.28163,0.54311,0.55688,0.65812,5.1714,4.0726,0.0253,0,5.0403,0.0,3.2669,3.02,0.0048,0,3.2512,-0.0,14.4418,14.4418,0.3124,0,9.9307,-0.0,35.9686,34.0071,0.8855,0,4.117,0.0,37.1804,30.421,0.463,0,19.9652,-0.0625,15.0999,15.0999,0.543,0,6.901,-0.0,111.1291,49.2053,0.3818,158.1259,62.2935,1413.85,18760.6,1.7077,1.784,65.0743,0.3836
472,OK,,108.90212,177.75561,403.27594,8.00339,31.19843,434.22816,50.7742,95.39731,477.85514,343.02649,404.75758,316.08784,564.33473,713.22019,943.38991,892.08072,982.10129,615.33874,789.65955,979.69044,925.13332,1029.38422,1224.47119,0.58297,0.54744,0.6932,16.8975,15.8002,0.0151,0,16.6428,0.0,1.4206,1.1756,0.0026,0,1.4169,-0.0,15.077,15.077,0.3652,0,9.5706,0.0,38.6377,36.4442,0.8765,0,4.7699,0.0,35.4671,27.9793,0.5003,0,17.7239,0.0001,16.6241,16.6241,0.5814,0,6.9583,-0.0,124.124,57.0823,0.4215,160.1724,69.6428,1461.07,18760.6,1.7135,1.7823,72.4402,0.4235
473,OK,,104.69792,173.254,395.32457,8.25818,35.51411,440.52317,48.2082,95.09545,447.06574,358.65531,435.2478,332.22284,609.5821,755.4391,841.56679,949.40016,1042.87181,558.03689,727.73579,956.88358,1016.82932,1018.17612,1108.8949,0.51551,0.59383,0.67436,12.7699,11.674,0.0385,0,12.2788,0.0,1.5132,1.2654,0.0111,0,1.4964,-0.0,11.9844,11.9844,0.4284,0,6.8502,-0.0,32.3696,30.2613,0.8225,0,5.7464,0.0,39.3354,32.1372,0.4721,0,20.7659,0.0001,15.7071,15.7071,0.5725,0,6.7146,-0.0,113.6796,53.8523,0.393,165.2835,66.9567,1436.2,18760.6,1.6273,1.6978,69.8578,0.3949
474,OK,,98.07334,188.04829,406.54654,8.69135,35.97725,399.19465,46.59829,99.00338,403.68921,341.95706,448.32608,362.25392,580.68972,775.37325,966.46635,1001.3332,1015.34499,638.91177,718.31196,942.31485,1015.85258,945.09522,1265.35565,0.59868,0.58872,0.64071,6.3211,5.2209,0.0402,0,6.0672,-0.0,2.9124,2.6507,0.0208,0,2.8518,-0.0,14.4854,14.4853,0.3267,0,9.7535,-0.0,41.3569,39.3904,0.7608,0,9.8931,-0.0,36.0533,29.3161,0.4629,0,19.3625,0.0001,15.2607,15.2607,0.5585,0,6.7376,-0.0,116.3898,54.6656,0.3503,173.9948,62.7243,1435.11,18760.6,1.7688,1.8556,65.8008,0.3518
475,OK,,94.95047,178.64766,469.52384,7.90145,30.64907,465.55932,49.73294,93.89717,452.3045,329.22742,435.55345,342.49538,540.8756,705.10992,964.9203,993.54724,998.52398,608.53466,694.91427,904.53685,941.55705,1109.00798,1168.26678,0.55155,0.55812,0.69263,5.8759,4.7783,0.0105,0,5.8145,0.0,1.4131,1.1647,0.0166,0,1.3896,0.0,13.382,13.382,0.3855,0,8.2226,-0.0,34.8018,32.8914,0.7699,0,8.0068,0.0001,36.0743,29.4863,0.4638,0,19.3415,-0.0611,14.3282,14.3282,0.5631,0,6.2602,0.0,105.8754,49.0352,0.3721,158.1543,60.7248,1418.63,18760.6,1.6671,1.7435,63.5106,0.3738
476,OK,,99.3563,181.71043,394.1039,8.29433,31.04508,432.00806,51.52832,103.79676,474.4704,375.67629,451.5439,314.02236,650.36745,710.86535,991.3554,917.29467,937.18882,546.58895,800.17014,933.05776,930.56914,1114.93593,1122.24746,0.51475,0.58446,0.65489,17.5789,16.4805,0.0416,0,16.847,0.0,2.3018,2.0568,0.0015,0,2.2982,0.0,15.6163,15.6163,0.3719,0,9.8089,-0.0,34.0814,32.0804,0.8295,0,5.8123,0.0001,40.6288,33.739,0.4495,0,22.3678,-0.0584,14.85,14.8501,0.5505,0,6.6745,0.0,125.0571,63.8087,0.3714,165.9939,63.5426,1385.31,18760.6,1.8815,1.9681,66.4676,0.3732
477,OK,,104.40926,181.81064,410.1933,7.64435,32.94206,464.82304,52.57865,94.67763,407.50081,336.02578,449.85082,366.92465,591.16351,728.73061,884.75167,1023.47416,1009.70264,562.25147,777.48496,923.54278,982.40896,1005.59537,1079.69244,0.59454,0.55642,0.67271,3.57,2.4715,0.0523,0,3.3831,0.0,1.4826,1.2204,0.0384,0,1.4256,-0.0,12.2967,12.2967,0.4543,0,6.7099,-0.0,34.3063,32.2129,0.7889,0,7.2414,-0.0,35.7318,28.5088,0.4935,0,18.0992,-0.0507,13.7231,13.723,0.5642,0,5.9807,-0.0001,101.1105,42.8399,0.4226,153.042,66.7695,1327.59,18760.6,1.4561,1.5143,69.4406,0.4244
478,OK,,94.63694,191.64989,431.97404,8.88316,32.2241,403.03535,51.83459,101.36885,470.4176,335.69423,399.67367,354.5413,548.25912,687.90281,899.02426,1069.1654,1023.46928,612.78153,756.12213,860.93655,948.82353,1061.82915,1063.65981,0.58054,0.53599,0.6467,12.323,11.2219,0.0114,0,12.1831,-0.0,1.24,0.9849,0.0522,0,1.1752,0.0,11.6604,11.6604,0.4307,0,6.6384,0.0,37.9662,36.0658,0.6096,0,14.8225,-0.0001,38.3067,31.754,0.4575,0,20.7819,-0.05,13.9103,13.9104,0.5449,0,6.33,0.0001,115.4066,61.931,0.3309,177.8217,60.5287,1364.03,18760.6,1.8122,1.9066,63.6839,0.3324
479,OK,,95.68842,184.72557,420.9776,8.82989,31.78605,475.21791,47.92879,98.1865,419.77496,331.59854,458.85456,338.94892,645.84507,808.18034,880.0552,1054.96358,990.94321,570.44298,682.16988,875.82204,1002.57015,1044.53993,1060.75887,0.56439,0.50189,0.65316,4.2446,3.1453,0.0205,0,4.1575,0.0,1.6039,1.3561,0.0142,0,1.5811,-0.0,12.8324,12.8324,0.413,0,7.5322,-0.0,36.5038,34.5779,0.6446,0,12.9751,-0.0001,37.3246,30.7466,0.4733,0,19.6603,0.0001,15.1097,15.1098,0.5593,0,6.6589,0.0001,107.6189,52.5652,0.3365,176.7335,61.2005,1442.26,18760.6,1.6728,1.7585,64.3337,0.3381
480,OK,,94.40479,172.83655,429.6761,8.72115,34.01393,395.57229,44.3771,98.84416,397.93349,349.85835,402.05582,318.89493,558.37656,759.39302,870.44833,1067.95267,1117.66467,606.79807,786.90748,821.00002,959.51044,935.12931,1289.56443,0.58238,0.50778,0.61763,10.0126,8.9168,0.0283,0,9.7297,0.0,1.5552,1.3093,0.004,0,1.549,0.0,13.8433,13.8433,0.3325,0,9.2409,-0.0,41.2873,39.3857,0.6961,0,12.5466,-0.0,34.5759,28.085,0.4737,0,18.1981,0.0002,16.712,16.712,0.5649,0,7.2711,-0.0,117.9862,58.5354,0.3361,174.5384,60.3796,1543.96,18760.6,1.8588,1.9541,63.4743,0.3377
